id,loan_status_2,loan_status,loan_amnt,term,int_rate,installment,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,addr_state,dti,fico_range_low,fico_range_high,open_acc,pub_rec,revol_bal,revol_util,mort_acc,pub_rec_bankruptcies,age,pay_status
3581,Paid,0,10625.0,36,9.17,338.72,B2,10,RENT,"(32500.0, 40000.0]",Not Verified,2015-01-12 00:00:00,car,CA,17.69,,704,16,0,4402,17.7,0,0,35,0
3582,Paid,0,24000.0,60,13.98,558.19,C3,4,RENT,"(91000.0, 107000.0]",Source Verified,2014-01-10 00:00:00,debt_consolidation,IL,25.33,670,674,11,1,28567,37.8,0,1,43,-1
3583,Paid,0,4000.0,36,13.11,134.99,B4,10,RENT,"(80000.0, 91000.0]",Not Verified,2012-01-07 00:00:00,other,NJ,12.84,,674,15,0,22328,68.6,0,0,33,0
3584,Paid,0,10000.0,36,9.67,321.13,B1,5,RENT,"(65000.0, 72000.0]",Verified,2014-01-03 00:00:00,debt_consolidation,WY,32.92,740,744,17,0,13767,57.8,1,0,43,0
3585,Paid,0,15000.0,36,8.19,471.37,A5,7,RENT,"(80000.0, 91000.0]",Not Verified,2014-01-11 00:00:00,credit_card,NY,9.81,710,714,12,0,9209,36.8,0,0,25,0
3586,Paid,0,31000.0,36,16.55,1098.31,D2,10,MORTGAGE,"(65000.0, 72000.0]",Source Verified,2015-01-08 00:00:00,debt_consolidation,MA,15.04,,754,7,0,12199,46.2,1,0,50,0
3587,Paid,0,15000.0,60,13.66,346.39,C3,5,RENT,"(52000.0, 60000.0]",Source Verified,2014-01-12 00:00:00,credit_card,MD,12.52,675,679,9,1,6450,68.6,5,1,36,0
3588,Paid,0,25000.0,36,5.32,752.87,A1,10,MORTGAGE,"(80000.0, 91000.0]",Verified,2016-01-04 00:00:00,debt_consolidation,NC,27.93,680,684,18,0,24480,64.0,1,0,29,-1
3589,Paid,0,16000.0,36,9.17,510.07,B2,5,MORTGAGE,"(133553.0, 6693021.0]",Source Verified,2015-01-08 00:00:00,debt_consolidation,GA,22.66,660,664,22,1,13427,58.6,3,0,24,2
3590,Paid,0,15000.0,60,13.35,343.99,C2,,MORTGAGE,"(46000.0, 52000.0]",Verified,2014-01-10 00:00:00,debt_consolidation,GA,38.18,,709,13,0,16031,50.6,3,0,30,0
3591,Written off,1,10800.0,36,12.99,363.85,C2,,MORTGAGE,"(107000.0, 133553.0]",Verified,2014-01-11 00:00:00,debt_consolidation,TN,22.17,660,664,15,1,5922,38.2,4,1,38,-1
3592,Paid,0,6725.0,36,7.9,210.43,A4,,OWN,"(32500.0, 40000.0]",Not Verified,2012-01-12 00:00:00,debt_consolidation,OH,26.73,800,804,15,0,15241,18.0,1,0,27,0
3593,Paid,0,13000.0,36,9.76,418.02,B1,6,RENT,"(46000.0, 52000.0]",Source Verified,2012-01-05 00:00:00,credit_card,TX,24.5,705,709,10,0,15534,69.7,0,0,26,0
3594,Paid,0,10000.0,60,13.66,230.93,C3,3,MORTGAGE,"(6694.0, 32500.0]",Source Verified,2015-01-02 00:00:00,debt_consolidation,WI,7.46,665,669,8,0,5986,38.4,1,0,29,0
3595,Written off,1,25000.0,60,21.18,678.87,E3,7,MORTGAGE,"(80000.0, 91000.0]",Source Verified,2014-01-03 00:00:00,debt_consolidation,PA,18.43,,664,9,0,2106,70.2,2,0,34,-1
3596,Paid,0,23000.0,36,11.55,759.0,B3,9,MORTGAGE,"(107000.0, 133553.0]",Source Verified,2013-01-08 00:00:00,debt_consolidation,NC,20.27,690,694,13,0,33391,42.4,4,0,23,2
3597,Paid,0,8000.0,36,11.67,264.46,B4,5,RENT,"(46000.0, 52000.0]",Not Verified,2014-01-06 00:00:00,debt_consolidation,NY,6.92,670,674,13,0,8440,93.8,0,0,28,1
3598,Paid,0,-4000.0,36,7.9,125.17,A4,10,MORTGAGE,"(60000.0, 65000.0]",Not Verified,2012-01-04 00:00:00,home_improvement,LA,22.4,710,714,7,0,21213,81.3,2,0,27,0
3599,Written off,1,21000.0,60,14.65,495.74,C5,8,MORTGAGE,"(72000.0, 80000.0]",Not Verified,2015-01-10 00:00:00,debt_consolidation,AR,36.91,690,694,23,0,52753,63.0,4,0,34,0
3600,Paid,0,4500.0,36,21.18,169.96,E3,4,OWN,"(6694.0, 32500.0]",Source Verified,2014-01-02 00:00:00,debt_consolidation,FL,23.43,,689,6,0,6419,85.6,2,0,34,0
3601,Paid,0,17000.0,36,11.14,557.69,B2,6,MORTGAGE,"(60000.0, 65000.0]",Not Verified,2013-01-01 00:00:00,debt_consolidation,NC,21.84,705,709,14,1,21418,23.9,0,1,36,1
3602,Paid,0,4000.0,36,12.69,134.18,C2,7,MORTGAGE,"(72000.0, 80000.0]",Verified,2015-01-08 00:00:00,debt_consolidation,TX,27.36,675,679,9,0,17420,88.4,3,0,35,-1
3603,Written off,1,15250.0,60,15.88,369.88,C4,10,MORTGAGE,"(46000.0, 52000.0]",Verified,2013-01-08 00:00:00,debt_consolidation,NJ,27.45,700,704,14,0,15691,29.4,4,0,32,1
3604,Written off,1,12550.0,60,13.99,291.96,C3,5,MORTGAGE,"(40000.0, 46000.0]",Verified,2016-01-08 00:00:00,debt_consolidation,GA,27.6,705,709,18,0,8266,22.0,2,0,29,0
3605,Paid,0,20000.0,60,20.89,539.84,F1,9,MORTGAGE,"(91000.0, 107000.0]",Verified,2011-01-10 00:00:00,debt_consolidation,PA,12.33,665,669,17,0,11037,58.4,,0,25,-1
3606,Paid,0,15000.0,36,19.52,553.8,E2,1,RENT,"(107000.0, 133553.0]",Verified,2014-01-08 00:00:00,credit_card,NH,24.23,670,674,18,1,11060,40.8,0,1,46,2
3607,Written off,1,35000.0,60,12.42,786.01,B4,5,MORTGAGE,"(91000.0, 107000.0]",Verified,2011-01-10 00:00:00,wedding,VA,8.84,750,754,8,0,297,2.5,,0,36,-1
3608,Paid,0,12000.0,36,9.75,385.8,B3,0,RENT,"(65000.0, 72000.0]",Not Verified,2016-01-04 00:00:00,other,MA,17.4,710,714,7,0,2607,19.2,0,0,24,0
3609,Paid,0,15000.0,36,6.92,462.61,A4,8,MORTGAGE,"(80000.0, 91000.0]",Not Verified,2015-01-05 00:00:00,credit_card,WA,15.1,680,684,4,0,12198,64.2,1,0,25,-1
3610,Paid,0,15000.0,36,9.17,478.19,B2,10,RENT,"(107000.0, 133553.0]",Not Verified,2016-01-01 00:00:00,debt_consolidation,NY,32.04,765,769,22,0,9472,15.3,0,0,36,-1
3611,Paid,0,11975.0,36,10.99,391.99,B4,10,MORTGAGE,"(52000.0, 60000.0]",Verified,2015-01-03 00:00:00,debt_consolidation,CA,21.14,725,729,11,0,16300,37.4,1,0,41,0
3612,Paid,0,8000.0,36,10.99,261.88,B4,10,OWN,"(80000.0, 91000.0]",Source Verified,2015-01-06 00:00:00,debt_consolidation,MA,30.37,660,664,12,1,7177,73.2,7,1,28,-1
3613,Paid,0,5700.0,36,11.49,187.94,B5,10,OWN,"(6694.0, 32500.0]",Verified,2016-01-07 00:00:00,major_purchase,NC,23.04,710,714,8,0,3838,60.9,0,0,35,0
3614,Paid,0,15000.0,36,7.35,465.57,A4,4,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2017-01-11 00:00:00,debt_consolidation,VT,14.81,700,704,14,0,10897,83.8,4,0,29,2
3615,Written off,1,20000.0,60,21.18,543.1,E3,0,RENT,"(65000.0, 72000.0]",Verified,2016-01-03 00:00:00,debt_consolidation,CA,22.34,690,694,17,0,5147,66.0,0,0,26,0
3616,Paid,0,1600.0,36,20.2,59.63,E3,6,MORTGAGE,"(32500.0, 40000.0]",Verified,2014-01-09 00:00:00,major_purchase,LA,22.26,,709,10,0,8083,31.7,1,0,31,0
3617,Written off,1,10000.0,36,15.99,351.53,C5,2,RENT,"(52000.0, 60000.0]",Not Verified,2016-01-12 00:00:00,debt_consolidation,UT,5.88,675,679,6,0,7010,34.0,0,0,29,0
3618,Paid,0,22000.0,36,13.98,751.7,C1,6,OWN,"(52000.0, 60000.0]",Source Verified,2014-01-02 00:00:00,debt_consolidation,CT,24.43,,674,14,0,23900,70.3,0,0,31,-1
3619,Paid,0,12000.0,36,16.02,422.01,C5,10,MORTGAGE,"(72000.0, 80000.0]",Verified,2017-01-08 00:00:00,vacation,IL,31.44,,669,25,0,20467,36.7,0,0,27,2
3620,Paid,0,12000.0,36,10.99,392.81,B3,0,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2014-01-08 00:00:00,credit_card,SC,12.75,700,704,12,0,19134,94.8,8,0,22,0
3621,Paid,0,14225.0,36,24.84,564.39,E3,6,OWN,"(133553.0, 6693021.0]",Source Verified,2018-01-05 00:00:00,debt_consolidation,CT,31.24,730,734,16,0,17566,26.1,1,0,26,1
3622,Paid,0,4000.0,36,10.99,130.94,B3,7,RENT,"(40000.0, 46000.0]",Verified,2014-01-08 00:00:00,debt_consolidation,AZ,18.06,,674,9,0,2827,24.4,0,0,50,1
3623,Paid,0,3050.0,36,9.99,98.41,B3,10,OWN,"(72000.0, 80000.0]",Source Verified,2015-01-08 00:00:00,credit_card,OH,23.01,690,694,13,3,11183,63.9,2,1,28,1
3624,Paid,0,6000.0,36,6.89,184.97,A3,5,RENT,"(40000.0, 46000.0]",Source Verified,2015-01-09 00:00:00,debt_consolidation,FL,13.4,700,704,23,0,2225,4.7,1,0,38,-2
3625,Paid,0,20000.0,36,6.03,608.72,A1,3,MORTGAGE,"(65000.0, 72000.0]",Source Verified,2014-01-06 00:00:00,credit_card,GA,18.2,705,709,13,0,18282,62.8,1,0,32,1
3626,Paid,0,25000.0,60,19.99,662.21,E1,4,MORTGAGE,"(80000.0, 91000.0]",Verified,2016-01-03 00:00:00,home_improvement,OR,18.58,,704,11,0,15266,73.4,3,0,28,-1
3627,Written off,1,2650.0,36,19.99,98.47,E4,10,RENT,"(6694.0, 32500.0]",Verified,2015-01-11 00:00:00,other,NY,17.86,685,689,5,0,1352,52.0,0,0,30,2
3628,Written off,1,15000.0,36,11.44,494.22,B4,4,RENT,"(91000.0, 107000.0]",Source Verified,2016-01-12 00:00:00,debt_consolidation,CA,9.07,,674,12,0,12817,58.0,1,0,47,1
3629,Paid,0,35000.0,36,13.67,1190.62,C3,9,OWN,"(133553.0, 6693021.0]",Verified,2016-01-03 00:00:00,home_improvement,AR,19.57,705,709,11,0,12971,71.3,3,0,22,0
3630,Paid,0,20000.0,36,13.66,680.26,C3,3,RENT,"(133553.0, 6693021.0]",Verified,2014-01-11 00:00:00,major_purchase,MI,16.49,,699,16,0,8265,55.5,0,0,32,-1
3631,Paid,0,32000.0,60,13.59,737.8,C2,5,MORTGAGE,"(80000.0, 91000.0]",Source Verified,2017-01-11 00:00:00,debt_consolidation,AR,10.32,700,704,10,0,6711,24.9,1,0,27,1
3632,Written off,1,5225.0,36,15.61,182.7,C3,7,RENT,"(6694.0, 32500.0]",Verified,2013-01-10 00:00:00,debt_consolidation,NY,15.42,660,664,5,0,6062,93.3,0,0,35,0
3633,Paid,0,8000.0,36,9.16,255.0,B2,10,MORTGAGE,"(65000.0, 72000.0]",Not Verified,2016-01-02 00:00:00,credit_card,WA,7.87,680,684,8,3,6299,68.5,4,0,47,0
3634,Written off,1,35000.0,60,22.74,981.45,E1,10,MORTGAGE,"(91000.0, 107000.0]",Verified,2017-01-01 00:00:00,debt_consolidation,TX,23.65,665,669,15,0,24207,77.8,1,0,32,-2
3635,Paid,0,21000.0,36,10.15,679.1,B2,10,MORTGAGE,"(80000.0, 91000.0]",Source Verified,2014-01-08 00:00:00,debt_consolidation,WI,11.55,,704,6,0,37324,75.4,5,0,28,1
3636,Paid,0,12000.0,60,13.67,277.18,C4,,RENT,"(52000.0, 60000.0]",Not Verified,2015-01-11 00:00:00,house,SC,23.12,670,674,15,0,3426,15.2,4,0,45,-1
3637,Paid,0,16000.0,36,12.99,539.03,B5,10,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2014-01-03 00:00:00,debt_consolidation,CA,14.04,,674,15,1,7656,29.4,1,1,21,0
3638,Paid,0,10000.0,60,13.99,232.64,C3,8,MORTGAGE,"(40000.0, 46000.0]",Source Verified,2016-01-12 00:00:00,debt_consolidation,IL,30.48,,679,13,2,8171,26.4,6,1,33,1
3639,Written off,1,8000.0,36,11.49,263.78,B5,8,MORTGAGE,"(46000.0, 52000.0]",Not Verified,2015-01-11 00:00:00,debt_consolidation,AL,35.02,705,709,7,0,11004,68.8,0,0,33,0
3640,Paid,0,9275.0,36,8.59,293.18,A5,5,RENT,"(46000.0, 52000.0]",Source Verified,2016-01-07 00:00:00,debt_consolidation,CA,15.42,,689,6,0,4874,62.5,0,0,26,0
3641,Written off,1,27575.0,60,17.27,689.32,C5,10,OWN,"(60000.0, 65000.0]",Verified,2013-01-06 00:00:00,debt_consolidation,NJ,14.92,700,704,15,0,23978,62.9,0,0,34,0
3642,Paid,0,9000.0,36,19.03,330.05,D3,10,MORTGAGE,"(65000.0, 72000.0]",Verified,2017-01-08 00:00:00,debt_consolidation,CA,11.1,,669,8,1,12398,84.3,5,1,28,0
3643,Paid,0,5000.0,36,13.79,170.38,C5,6,RENT,"(107000.0, 133553.0]",Not Verified,2008-01-12 00:00:00,debt_consolidation,TX,3.02,665,669,10,0,4339,13.7,,0,38,0
3644,Written off,1,25000.0,60,13.59,576.41,C2,10,RENT,"(133553.0, 6693021.0]",Not Verified,2018-01-02 00:00:00,debt_consolidation,CA,5.29,685,689,9,0,14191,39.1,2,0,42,1
3645,Written off,1,33425.0,60,23.63,954.41,F3,10,RENT,"(65000.0, 72000.0]",Verified,2012-01-07 00:00:00,debt_consolidation,CA,33.04,690,694,5,0,26575,94.9,0,0,39,1
3646,Paid,0,24000.0,36,12.74,805.66,C1,3,OWN,"(65000.0, 72000.0]",Verified,2017-01-02 00:00:00,debt_consolidation,KY,16.05,670,674,11,0,13012,71.1,4,0,37,1
3647,Paid,0,18000.0,60,7.39,359.75,A4,5,MORTGAGE,"(133553.0, 6693021.0]",Not Verified,2016-01-05 00:00:00,credit_card,CA,14.59,715,719,8,0,31457,71.8,4,0,40,0
3648,Written off,1,10000.0,36,15.31,348.18,C5,6,RENT,"(6694.0, 32500.0]",Source Verified,2016-01-03 00:00:00,debt_consolidation,NY,25.84,675,679,7,0,7870,60.5,0,0,30,2
3649,Written off,1,11000.0,36,11.14,360.86,B2,7,MORTGAGE,"(80000.0, 91000.0]",Not Verified,2012-01-07 00:00:00,home_improvement,AR,16.92,,734,20,1,734,2.5,6,1,33,-2
3650,Paid,0,8400.0,36,11.48,276.92,B5,7,RENT,"(107000.0, 133553.0]",Source Verified,2016-01-01 00:00:00,debt_consolidation,NY,4.08,660,664,4,0,15660,81.1,0,0,28,1
3651,Paid,0,1000.0,36,14.33,34.34,C1,2,RENT,"(91000.0, 107000.0]",Not Verified,2013-01-05 00:00:00,major_purchase,CA,8.47,705,709,7,0,4445,41.5,0,0,46,0
3652,Paid,0,15000.0,36,14.65,517.42,C2,6,RENT,"(32500.0, 40000.0]",Verified,2012-01-06 00:00:00,debt_consolidation,NJ,9.72,695,699,12,0,15800,41.1,0,0,29,-1
3653,Paid,0,10000.0,36,5.32,301.15,A1,,MORTGAGE,"(91000.0, 107000.0]",Not Verified,2015-01-11 00:00:00,debt_consolidation,AR,25.26,775,779,21,0,8801,17.5,5,0,45,1
3654,Paid,0,-15000.0,36,13.98,512.52,C3,8,RENT,"(133553.0, 6693021.0]",Verified,2014-01-06 00:00:00,debt_consolidation,DC,22.21,705,709,17,0,9320,39.3,0,0,28,0
3655,Paid,0,6850.0,36,14.33,235.22,C1,0,MORTGAGE,"(6694.0, 32500.0]",Source Verified,2012-01-10 00:00:00,debt_consolidation,WI,5.52,680,684,9,0,6800,89.5,0,0,30,0
3656,Paid,0,15400.0,60,12.99,350.32,C2,3,RENT,"(65000.0, 72000.0]",Source Verified,2014-01-12 00:00:00,credit_card,GA,20.09,675,679,8,0,23554,89.9,0,0,22,2
3657,Written off,1,15500.0,60,29.49,496.64,F2,4,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2017-01-01 00:00:00,debt_consolidation,PA,28.28,700,704,6,0,8476,53.6,1,0,32,-2
3658,Written off,1,15000.0,60,16.99,372.71,D3,2,MORTGAGE,"(80000.0, 91000.0]",Source Verified,2014-01-07 00:00:00,debt_consolidation,NY,14.91,685,689,14,1,22358,48.7,0,0,56,3
3659,Paid,0,24000.0,36,12.29,800.48,C1,10,MORTGAGE,"(107000.0, 133553.0]",Verified,2015-01-02 00:00:00,debt_consolidation,IN,26.31,675,679,18,4,17232,65.5,1,0,37,-1
3660,Paid,0,18000.0,60,13.33,412.61,C3,5,RENT,"(72000.0, 80000.0]",Not Verified,2015-01-09 00:00:00,major_purchase,MD,1.81,720,724,14,0,3532,7.3,0,0,23,-1
3661,Paid,0,14000.0,36,8.18,439.88,B1,10,MORTGAGE,"(60000.0, 65000.0]",Not Verified,2015-01-11 00:00:00,debt_consolidation,IN,22.95,675,679,18,0,15926,33.0,1,0,27,1
3662,Paid,0,25000.0,60,15.61,602.79,D1,0,RENT,"(52000.0, 60000.0]",Source Verified,2014-01-07 00:00:00,credit_card,CA,16.42,,669,8,0,19105,63.9,0,0,32,-1
3663,Paid,0,14900.0,36,7.9,466.23,A4,4,RENT,"(133553.0, 6693021.0]",Source Verified,2012-01-04 00:00:00,other,NY,0.57,785,789,5,0,2779,7.4,0,0,51,2
3664,Paid,0,6500.0,36,11.99,215.87,B3,3,MORTGAGE,"(80000.0, 91000.0]",Source Verified,2014-01-02 00:00:00,credit_card,TX,11.59,665,669,9,0,3760,12.5,2,0,35,-2
3665,Paid,0,20000.0,60,9.75,422.49,B3,2,MORTGAGE,"(107000.0, 133553.0]",Not Verified,2016-01-02 00:00:00,credit_card,KS,9.09,690,694,7,0,19012,50.2,2,0,42,-1
3666,Paid,0,30000.0,36,17.86,1082.47,D5,,MORTGAGE,"(91000.0, 107000.0]",Verified,2015-01-01 00:00:00,debt_consolidation,FL,39.08,660,664,13,0,30898,78.4,3,0,42,-1
3667,Paid,0,20000.0,60,13.99,465.27,C3,10,OWN,"(107000.0, 133553.0]",Not Verified,2016-01-10 00:00:00,debt_consolidation,NY,5.36,,679,15,0,15328,43.8,5,0,46,0
3668,Paid,0,35000.0,36,13.67,1190.62,C3,4,RENT,"(133553.0, 6693021.0]",Source Verified,2016-01-04 00:00:00,debt_consolidation,MO,17.68,675,679,14,0,28625,79.7,0,0,32,1
3669,Paid,0,25000.0,36,8.9,793.84,A5,4,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2013-01-11 00:00:00,debt_consolidation,FL,15.79,695,699,10,0,35867,52.1,5,0,30,-2
3670,Written off,1,8000.0,36,13.33,270.83,C3,10,MORTGAGE,"(80000.0, 91000.0]",Verified,2015-01-04 00:00:00,credit_card,PA,33.84,,679,24,0,33961,64.0,1,0,47,1
3671,Paid,0,30000.0,36,9.17,956.37,B2,10,MORTGAGE,"(133553.0, 6693021.0]",Verified,2015-01-10 00:00:00,debt_consolidation,MO,29.8,700,704,23,0,113056,89.0,5,0,28,1
3672,Paid,0,8400.0,36,14.33,288.45,C1,10,RENT,"(72000.0, 80000.0]",Not Verified,2013-01-02 00:00:00,debt_consolidation,MD,22.48,680,684,14,0,21789,91.9,0,0,36,0
3673,Paid,0,25000.0,60,11.99,555.99,B5,10,RENT,"(133553.0, 6693021.0]",Source Verified,2017-01-11 00:00:00,credit_card,NJ,4.19,685,689,6,0,36554,88.7,0,0,27,0
3674,Paid,0,5000.0,36,18.49,182.0,D2,9,MORTGAGE,"(40000.0, 46000.0]",Not Verified,2013-01-06 00:00:00,debt_consolidation,NJ,15.03,665,669,9,0,4535,51.5,1,0,46,1
3675,Paid,0,7500.0,36,7.26,232.48,A4,10,MORTGAGE,"(91000.0, 107000.0]",Source Verified,2015-01-07 00:00:00,debt_consolidation,OR,21.6,700,704,10,0,14321,90.6,3,0,33,-1
3676,Paid,0,9800.0,36,6.99,302.56,A2,10,MORTGAGE,"(72000.0, 80000.0]",Not Verified,2016-01-10 00:00:00,debt_consolidation,IL,21.4,770,774,35,0,7308,3.4,3,0,44,2
3677,Paid,0,20000.0,36,16.24,705.52,C5,2,MORTGAGE,"(65000.0, 72000.0]",Verified,2014-01-02 00:00:00,credit_card,VA,16.9,,684,10,0,23779,91.8,2,0,25,-2
3678,Paid,0,6600.0,36,9.17,210.41,B2,7,MORTGAGE,"(46000.0, 52000.0]",Verified,2015-01-10 00:00:00,debt_consolidation,CA,20.26,675,679,8,0,8092,73.6,2,0,38,-1
3679,Paid,0,10000.0,36,11.49,329.72,B5,10,RENT,"(6694.0, 32500.0]",Not Verified,2016-01-09 00:00:00,debt_consolidation,MI,21.32,730,734,16,1,8549,20.8,0,1,38,-1
3680,Paid,0,10000.0,36,17.86,360.83,D5,1,MORTGAGE,"(60000.0, 65000.0]",Verified,2015-01-04 00:00:00,debt_consolidation,NV,13.26,,674,6,1,3188,55.0,1,1,42,-1
3681,Written off,1,34750.0,36,18.25,1260.66,E1,10,OWN,"(72000.0, 80000.0]",Verified,2015-01-02 00:00:00,debt_consolidation,FL,21.89,685,689,6,0,1463,17.8,0,0,35,0
3682,Written off,1,12000.0,60,11.99,266.88,C1,10,RENT,"(52000.0, 60000.0]",Not Verified,2016-01-03 00:00:00,credit_card,PA,9.47,,694,5,0,10774,73.3,0,0,30,0
3683,Paid,0,16000.0,60,18.2,408.04,E1,1,MORTGAGE,"(40000.0, 46000.0]",Source Verified,2015-01-12 00:00:00,debt_consolidation,NY,25.23,690,694,10,0,8832,52.0,6,0,36,-1
3684,Written off,1,30000.0,36,18.99,1099.53,D4,0,RENT,"(91000.0, 107000.0]",Verified,2016-01-06 00:00:00,debt_consolidation,NV,23.64,690,694,8,0,12604,56.5,2,0,32,-1
3685,Paid,0,20000.0,60,14.99,475.7,C4,10,MORTGAGE,"(91000.0, 107000.0]",Verified,2017-01-01 00:00:00,debt_consolidation,CA,6.83,670,674,4,0,22138,90.4,3,0,30,-2
3686,Paid,0,14400.0,36,10.75,469.74,B4,9,MORTGAGE,"(91000.0, 107000.0]",Verified,2016-01-02 00:00:00,credit_card,TX,30.29,,684,18,0,18524,39.7,3,0,36,-1
3687,Paid,0,6500.0,36,5.32,195.75,A1,4,RENT,"(60000.0, 65000.0]",Not Verified,2017-01-05 00:00:00,debt_consolidation,MA,14.51,725,729,22,0,3750,10.2,4,0,40,-1
3688,Written off,1,12000.0,60,16.29,293.67,D2,0,RENT,"(46000.0, 52000.0]",Source Verified,2014-01-09 00:00:00,debt_consolidation,NY,14.09,680,684,10,0,18035,79.1,0,0,39,-1
3689,Paid,0,-15125.0,36,10.99,495.11,B3,6,MORTGAGE,"(52000.0, 60000.0]",Source Verified,2014-01-07 00:00:00,debt_consolidation,FL,27.86,675,679,12,1,11181,61.1,1,1,25,0
3690,Paid,0,10000.0,36,15.95,351.33,D4,0,MORTGAGE,"(72000.0, 80000.0]",Source Verified,2010-01-07 00:00:00,car,TX,2.68,665,669,4,0,6585,58.8,,0,26,1
3691,Paid,0,25000.0,60,13.18,571.14,C3,,RENT,"(46000.0, 52000.0]",Not Verified,2015-01-11 00:00:00,debt_consolidation,TX,23.4,690,694,15,0,14851,63.2,3,0,26,0
3692,Paid,0,-35000.0,36,12.73,1174.75,B5,,RENT,"(133553.0, 6693021.0]",Source Verified,2018-01-09 00:00:00,debt_consolidation,AZ,7.19,720,724,23,0,17947,22.6,0,0,44,-1
3693,Paid,0,10000.0,36,6.03,304.36,A1,4,MORTGAGE,"(46000.0, 52000.0]",Not Verified,2013-01-03 00:00:00,debt_consolidation,PA,5.34,790,794,5,0,1593,11.5,1,0,26,-2
3694,Paid,0,-18000.0,36,6.72,553.49,A3,3,MORTGAGE,"(52000.0, 60000.0]",Not Verified,2017-01-12 00:00:00,debt_consolidation,SC,15.44,750,754,4,0,4932,16.8,2,0,56,0
3695,Paid,0,6000.0,36,9.16,191.25,B2,0,MORTGAGE,"(46000.0, 52000.0]",Not Verified,2016-01-03 00:00:00,other,MD,4.63,690,694,9,0,2709,40.4,3,0,36,1
3696,Written off,1,15000.0,36,10.49,487.47,B2,4,MORTGAGE,"(133553.0, 6693021.0]",Verified,2016-01-11 00:00:00,credit_card,PA,11.39,660,664,8,0,68960,162.0,1,0,25,0
3697,Paid,0,4000.0,36,15.88,140.4,C4,6,RENT,"(52000.0, 60000.0]",Verified,2013-01-08 00:00:00,debt_consolidation,WI,6.22,660,664,6,0,3567,66.1,4,0,40,-1
3698,Written off,1,2800.0,36,15.31,97.49,C4,6,RENT,"(32500.0, 40000.0]",Verified,2014-01-04 00:00:00,debt_consolidation,CA,15.98,665,669,6,1,3862,56.8,0,0,25,0
3699,Paid,0,24250.0,60,17.86,613.95,D5,1,RENT,"(107000.0, 133553.0]",Verified,2015-01-10 00:00:00,debt_consolidation,FL,9.07,660,664,17,1,17534,40.1,2,1,39,2
3700,Written off,1,7450.0,36,10.75,243.03,B4,,RENT,"(6694.0, 32500.0]",Source Verified,2016-01-03 00:00:00,credit_card,OH,17.6,,684,11,0,13605,43.1,0,0,33,0
3701,Paid,0,3500.0,36,18.55,127.51,D2,9,MORTGAGE,"(40000.0, 46000.0]",Verified,2013-01-11 00:00:00,home_improvement,CO,23.74,695,699,15,0,4769,25.6,1,0,28,-2
3702,Paid,0,13200.0,36,25.49,528.26,E4,6,OWN,"(6694.0, 32500.0]",Not Verified,2016-01-12 00:00:00,debt_consolidation,FL,34.92,695,699,11,0,10582,42.8,0,0,37,1
3703,Paid,0,-1500.0,36,22.15,57.41,E5,8,RENT,"(6694.0, 32500.0]",Not Verified,2014-01-07 00:00:00,vacation,CA,29.92,,669,11,0,10710,68.7,0,0,52,0
3704,Paid,0,9000.0,36,15.31,313.36,C3,0,OWN,"(32500.0, 40000.0]",Verified,2012-01-07 00:00:00,debt_consolidation,IL,23.52,,679,15,0,7290,57.4,0,0,41,-2
3705,Paid,0,14000.0,60,18.25,357.42,E1,10,RENT,"(46000.0, 52000.0]",Source Verified,2015-01-10 00:00:00,debt_consolidation,WY,20.96,670,674,17,0,10505,31.6,3,0,39,-2
3706,Written off,1,15000.0,60,19.52,393.42,E2,7,MORTGAGE,"(32500.0, 40000.0]",Verified,2014-01-07 00:00:00,home_improvement,NY,16.41,675,679,6,0,8115,65.0,1,0,68,2
3707,Paid,0,12000.0,36,6.49,367.74,A2,2,RENT,"(80000.0, 91000.0]",Not Verified,2016-01-05 00:00:00,debt_consolidation,FL,27.96,700,704,7,0,28663,41.8,1,0,31,-1
3708,Written off,1,2525.0,36,13.99,86.29,C4,4,RENT,"(46000.0, 52000.0]",Verified,2015-01-04 00:00:00,debt_consolidation,CA,6.14,660,664,7,0,9316,59.0,0,0,37,0
3709,Paid,0,12000.0,60,16.29,293.67,C4,6,MORTGAGE,"(52000.0, 60000.0]",Verified,2013-01-06 00:00:00,credit_card,CA,29.76,,679,12,1,13838,62.6,1,1,25,1
3710,Paid,0,6000.0,36,7.89,187.72,A5,3,RENT,"(32500.0, 40000.0]",Source Verified,2015-01-10 00:00:00,credit_card,TX,23.73,685,689,8,1,6173,55.6,2,0,23,0
3711,Paid,0,12600.0,36,18.99,461.81,D4,10,MORTGAGE,"(60000.0, 65000.0]",Source Verified,2016-01-02 00:00:00,debt_consolidation,NC,15.83,695,699,10,0,11079,14.7,3,0,38,0
3712,Paid,0,18000.0,60,17.27,449.97,C5,3,RENT,"(40000.0, 46000.0]",Verified,2013-01-03 00:00:00,debt_consolidation,CA,7.12,680,684,7,0,6204,59.7,0,0,28,0
